id,nome,safra,uva,tempodeguarda,harmonizacao,vinicola_id
1,ACHAVAL FERRER CABERNET SAUVIGNON,2019,Cabernet Sauvignon,10,Carnes vermelhas grelhadas,1
2,ACHAVAL FERRER CAB FRANC 2020,2020,Cabernet Franc,8,Queijos duros,1
3,ACHAVAL FERRER FINCA ALTAMIRA MALBEC 2016,2016,Malbec,15,Cordeiro assado,1
4,ACHAVAL FERRER FINCA BELLA VISTA 2015,2015,Malbec,20,Carnes de caça,1
5,ACHAVAL FERRER FINCA MIRADOR 2015,2015,Malbec,20,Carnes vermelhas nobres,1
6,ACHAVAL FERRER MALBEC 2020,2020,Malbec,5,Empanadas argentinas,1
7,ACHAVAL FERRER MALBEC / BLEND 2017,2017,Malbec,8,Queijos macios,1
8,ALAMOS MALBEC 2022,2022,Malbec,3,Pizzas,2
9,ALFA CRUX BETACRUX MALBEC 2016,2016,Malbec,12,Bife de chorizo,3
10,ALFA CRUX VALLE DE UCO MALBEC 2016,2016,Malbec,10,Massas com molho vermelho,3
11,ALFA CRUZ MALBEC 2014,2014,Malbec,15,Churrasco argentino,3
12,ALTO CEDRO GRAN RESERVA MALBEC 2020,2020,Malbec,8,Queijos envelhecidos,4
13,ALTOS LAS HORMIGAS MALBEC 2016,2016,Malbec,8,Empanadas de carne,5
14,AMALAYA BLANCO DE CORTE TORRONTES RIESLING 2020,2020,Torrontes,3,Peixes e frutos do mar,6
15,AMALAYA MALBEC 2020,2020,Malbec,5,Carnes grelhadas,6
16,AMALAYA TORRONTES BLANCO DULCE 2018,2018,Torrontes,3,Sobremesas com frutas,6
17,ANGELICA CABERNET FRANC 2019,2019,Cabernet Franc,8,Queijos de cabra,7
18,ANGELICA CABERNET SAUVIGNON 2019,2019,Cabernet Sauvignon,10,Carnes assadas,7
19,ANGELICA CHARDONNAY 2019,2019,Chardonnay,5,Frango grelhado,7
20,ANGELICA CHARDONNAY 2020,2020,Chardonnay,5,Peixes grelhados,7
21,ANGELICA MALBEC ALTA 2018,2018,Malbec,12,Cordeiro grelhado,7
22,ANGELICA MERLOT 2017,2017,Merlot,8,Massas com molho de cogumelos,7
23,BEMBERG LA INTERNA VALLE DE PEDERNAL MALBEC 2014,2014,Malbec,10,Carnes de porco,8
24,BEMBERG LA INTERNA VALLE DE PEDERNAL MALBEC 2015,2015,Malbec,12,Churrasco brasileiro,8
25,BEMBERG LA LINTERNA CAB. SAUV. CAFAYATE/SALTA 2015,2015,Cabernet Sauvignon,10,Carnes vermelhas grelhadas,8
26,BEMBERG LA LINTERNA MALBEC CHANAR PUNCO 2015,2015,Malbec,10,Pato assado,8
27,BEMBERG LA LINTERNA MALBEC EL TOMILLO GUATALARY 2015,2015,Malbec,10,Carnes de caça,8
28,BEMBERG LA LINTERNA MALBEC LA CONSULTA 2015,2015,Malbec,8,Queijos azuis,8
29,BEMBERG LA LINTERNA MALBEC VALE PEDERNAL CUYO 2015,2015,Malbec,8,Queijos macios,8
30,BEMBERG LA LINTERNA PINOT NOIR LOS ARBOLES MENDOZA 2015,2015,Pinot Noir,8,Salmão grelhado,8
31,BENEGAS LYNCH CABERNET/FRANC 2008,2008,Cabernet Franc,12,Carnes vermelhas assadas,9
32,BENEGAS LYNCH MALBEC 2017,2017,Malbec,10,Massas com molho de tomate,9
33,BRESSIA DEL ALMA CABERNET FRANC 2015,2015,Cabernet Franc,10,Carnes de aves assadas,10
34,BRESSIA MONTEAGRELO CABERNET SAUVIGNON 2016,2016,Cabernet Sauvignon,10,Carnes de cordeiro,10
35,BRESSIA MONTEAGRELO CAB. FRANC 2018,2018,Cabernet Franc,8,Queijos semiduros,10
36,BRESSIA MONTEAGRELO MALBEC 2019,2019,Malbec,8,Empanadas de carne,10
37,BRESSIA MONTEAGRELO SYRAH 2019,2019,Syrah,10,Carnes defumadas,10
38,BRESSIA PINOT NOIR PIEL NEGRA 2019,2019,Pinot Noir,8,Cogumelos salteados,10
39,CARMELO PATTI CABERNET SAUVIGNON 2016,2016,Cabernet Sauvignon,15,Carnes vermelhas nobres,11
40,CARMELO PATTI MALBEC 2018,2018,Malbec,10,Churrasco argentino,11
41,CASA PETRINI TANNAT 2019,2019,Tannat,10,Carnes de caça,12
42,CATENA MALBEC ARGENTINO 2020,2020,Malbec,8,Queijos duros,13
43,CATENA NICOLA PARCELA BONARDA 2019,2019,Bonarda,5,Embutidos,13
44,CHACRA 55 PINOT NOIR 2020,2020,Pinot Noir,8,Queijos de cabra,14
45,CHACRA BARDA PINOT NOIR 2021,2021,Pinot Noir,10,Salmão defumado,14
46,CHACRA LUNITA PINOT NOIR 2021,2021,Pinot Noir,5,Peixes grelhados,14
47,CHACRA MAINQUE CHARDONAY 2020,2020,Chardonnay,3,Saladas,14
48,CHACRA MAINQUE MERLOT 2016,2016,Merlot,8,Carnes suínas assadas,14
49,COBOS BRAMARE CHANARES ESTATE CABERNET FRANC 2017,2017,Cabernet Franc,15,Carnes vermelhas suculentas,15
50,COBOS BRAMARE CHANARES ESTATE MALBEC 2017,2017,Malbec,15,Churrasco brasileiro,15
51,COBOS BRAMARE LOS ARBOLITOS CHARDONNAY 2018,2018,Chardonnay,8,Frutos do mar,15
52,COBOS BRAMARE LUJAN DE CUYO CAB/SAUVIG 2018,2018,Cabernet Sauvignon,10,Carnes vermelhas grelhadas,15
53,COBOS BRAMARE MARCHIORI ESTATE CABERNET SAUVIGNON 2017,2017,Cabernet Sauvignon,12,Carnes de cordeiro,15
54,COBOS BRAMARE REBOM ESTATE MALBEC 2017,2017,Malbec,10,Churrasco argentino,15
55,COBOS BRAMARE TOUZA ESTATE MALBEC 2017,2017,Malbec,10,Carnes de caça,15
56,COBOS BRAMARE VALE DE UCO CABERNET SAUVIGNON 2017,2017,Cabernet Sauvignon,12,Carnes vermelhas assadas,15
57,COBOS BRAMARE VALE DE UCO CABERNET SAUVIGNON 2018,2018,Cabernet Sauvignon,12,Carnes vermelhas assadas,15
58,COBOS BRAMARE VALE DE UCO CHARDONNAY 2019,2019,Chardonnay,8,Frutos do mar,15
59,COBOS BRAMARE VALE DE UCO MALBEC 2020,2020,Malbec,10,Churrasco argentino,15
60,COBOS FELINO CABERNET SAUVIGNON 2019,2019,Cabernet Sauvignon,10,Carnes vermelhas grelhadas,15
61,COBOS FELINO CHARDONNAY 2019,2019,Chardonnay,8,Frutos do mar,15
62,COBOS FELINO MALBEC 2020,2020,Malbec,8,Churrasco argentino,15
63,COBOS VINCULUM MALBEC 2018,2018,Malbec,8,Churrasco argentino,15
64,COLOME ALTURA MAXIMA MALBEC 2016,2016,Malbec,12,Carnes de caça,16
65,COLOME ESTATE MALBEC 2021,2021,Malbec,8,Churrasco argentino,16
66,COLOME ESTATE TORRONTES 2022,2022,Torrontes,5,Ceviche,16
67,COLOME LOTE ESPECIAL MALBEC COLOME 2019,2019,Malbec,10,Carnes vermelhas assadas,16
68,COLOME LOTE ESPECIAL MALBEC LA BRAVA 2020,2020,Malbec,10,Carnes vermelhas assadas,16
69,COLOME LOTE ESPECIAL SAUVIGNON BLANC 2019,2019,Sauvignon Blanc,5,Saladas,16
70,CONCHA Y TORO CABERNET SAUVIGNON 2022,2022,Cabernet Sauvignon,8,Carnes vermelhas grelhadas,17
71,CONCHA Y TORO MALBEC 2022,2022,Malbec,8,Churrasco argentino,17
72,CUVELIER DE LOS ANDES GRAN MALBEC 2016,2016,Malbec,10,Carnes vermelhas grelhadas,18
73,DEL FIN DEL MUNDO RESERVA CABER SAUVIGNON 2021,2021,Cabernet Sauvignon,8,Carnes vermelhas grelhadas,19
74,DEL FIN DEL MUNDO RESERVA MALBEC 2021,2021,Malbec,8,Churrasco argentino,19
75,DEL FIN DEL MUNDO RESERVA PINOT NOIR 2021,2021,Pinot Noir,5,Peixes grelhados,19
76,DEL FIN DE MUNDO SPECIAL BLEND 2020,2020,Special Blend,8,Carnes vermelhas grelhadas,19
77,DIAMANDES DE UCO GRAN RESERVA CHARDONAY 2020,2020,Chardonnay,8,Frutos do mar,20
78,DIAMANDES DE UCO GRAN RESERVA MALBEC 2019,2019,Malbec,10,Churrasco argentino,20
79,DONA PAULA ESTATE MALBEC 2020,2020,Malbec,8,Churrasco argentino,21
80,DONA PAULA ESTATE ROSE 2020,2020,Rose,5,Saladas,21
81,DONA PAULA SELECTION DE BODEGAS MALBEC 2016,2016,Malbec,10,Churrasco argentino,21
